gpu_type,sm,comm_sm,fp16,fp8,fp4,mem,mem_bw,ar_bw,a2a_bw,pcie_bw,gpu_per_node
H200,132,20,989,1979,0,141,4800,450,450,50,8
H800,132,20,989,1979,0,80,4000,200,200,50,8
H20,78,10,148,296,0,96,4000,450,450,50,8
H20-3E,78,10,148,296,0,141,4800,450,450,50,8
MI300X,304,30,1307,2614,0,192,5300,448,448,50,8
MI308X,304,30,190,380,0,192,5300,448,448,50,8
TG260,100,10,320,640,0,72,1800,180,180,25,16
TG260X-32,100,10,320,640,0,72,1800,180,90,25,32
TG260X-64,100,10,320,640,0,72,1800,180,90,25,64
TG260X-128,100,10,320,640,0,72,1800,180,90,25,128
TG260X-288,100,10,320,640,0,72,1800,180,90,25,288
